2017-03-11 08:34:09 INFO  Controller:28 - === START ===
2017-03-11 08:34:10 INFO  DBHelper:77 - Список пабликов успешно загружен.
2017-03-11 08:34:12 INFO  HttpTransportClient:158 - Request: https://api.vk.com/method/status.get		802
2017-03-11 08:34:12 INFO  VKAuthorization:31 - Токен валидный. Возвращаем VK Actor.
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76468
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76468
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76467
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76467
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76457
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76457
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76451
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76451
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76443
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76443
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76439
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76439
2017-03-11 08:34:18 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76429
2017-03-11 08:34:18 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76429
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76422
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76422
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76409
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76409
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76401
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76401
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76393
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76393
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76386
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76386
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76371
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76371
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76367
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76367
2017-03-11 08:34:19 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76361
2017-03-11 08:34:19 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76361
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76357
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76357
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76343
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76343
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76341
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76341
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76333
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76333
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76326
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76326
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76314
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76314
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76309
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76309
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76300
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76300
2017-03-11 08:34:20 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76282
2017-03-11 08:34:20 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76282
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76267
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76267
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76264
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76264
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76251
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76251
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76250
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76250
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76233
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76233
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76186
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76186
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76180
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76180
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76158
2017-03-11 08:34:21 INFO  DBHelper:130 - Информация в БД о посте актуальна. PublicId: 79525017, postId 76158
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76155
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76155
2017-03-11 08:34:21 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76145
2017-03-11 08:34:21 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76145
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76126
2017-03-11 08:34:22 INFO  DBHelper:123 - Информация в БД о посте неактуальна. Обновляем информацию. PublicId: 79525017, postId 76126
2017-03-11 08:34:22 INFO  DBHelper:116 - Пост уже есть в нашей БД. PublicId: 79525017, postId 76094
